no,username,komentar
1,mikael,"b'RT @anju0gerald: Banyak yang perlu dikritik dari MBKM, jelas. Bahkan jika mau menganalisis kondisi politik-ekonomi yang melatarbelakanginya\xe2\x80\xa6'"
2,felyyaa,"b'emg ga bisa dipungkiri kalo MBKM banyak kurangnya, dan setiap kebijakan pasti selalu ada implikasi buruk. but makin\xe2\x80\xa6 https://t.co/cAOA9h7D9E'"
3,Naa âœ¨,b'Keterima mbkm https://t.co/a8dFjNWn65'
4,Yumna Kasima,"b'@dinisahh17_ Loh luring, untung ikut mbkm jadi stay di rumah'"
5,COLLE,b'[cm] di sini ada juga kah yang smt 4 tapi udah ambil metodologi penelitian kayak sender??? rada pusing yah rasanya\xf0\x9f\x98\x8a\xe2\x80\xa6 https://t.co/9RdaGRQImd'
6,COLLE,"b'[cm] mau nanya dong, misal di semester 6 pernah lolos mbkm yg magang dan semester 7 pgn daftar iisma gitu, bisa ngg\xe2\x80\xa6 https://t.co/vDBMGoLgVh'"
7,AMBIS IISMA 2022 (Duolingo English test),b'Ayoooo yang ambis IISMA untuk kampus merdeka ditahun ini mana??????\n#IISMA2022 #MBKM #Kampusmerdeka'
8,Anabule,b'@xannytocin @WeningAA @_MasWis Betul. Makanya pencairan dana program MBKM lambat karena memang belum satu pintu.'
9,Goryaaa,"b'Pengeen deh one day ngerasain uang LPDP ikut program MBKM atau beasiswa LN, seneng bgt liat temen2 twitter dan tikt\xe2\x80\xa6 https://t.co/S78wznqPug'"
10,ï¸ï¸Jovel: HC OST!,b'@collegemenfess om bantuin om u kan alumni magang mbkm @O31OOO_'
11,COLLE,"b'[cm] tips keterima magang mbkm/magang mandiri dong bestie, hopeless bgttt smt ini  ga keterima'"
12,riski,"b'bem km kritik mbkm, begini kata leslar'"
13,COLLE,b'[cm] aku dipilih kaprodi untuk pertukaran mahasiswa antar kampus (bukan program mbkm). Kelasku yang dipilih aku doa\xe2\x80\xa6 https://t.co/jz4xafwp8L'
14,Komedi Mahasiswa (KM) UGM,"b'Apa ini ramai-ramai MBKM, Mari Bubarkan Keluarga Mahasiswa?'"
15,Hargo.co.id,"b'Ikuti Bimbingan Program MBKM, 25 Mahasiswa UNG Siap Turun Lapangan https://t.co/YsAdUC7qYZ'"
16,Universitas MH Thamrin,b'Hari ini Program Studi S1 Akuntansi Universitas Mh Thamrin  berkunjung ke SMK Tripel J untuk kerja sama program MBK\xe2\x80\xa6 https://t.co/Vjgh2Mfs8V'
17,LPM Teropong UMSU,"b'Wakil Ketua Project Manajemen Office (PMO) Kampus Merdeka 2022, Nurhadi ST.,CEC LCC bahas tuntas program Merdeka Be\xe2\x80\xa6 https://t.co/bSy6dFYPct'"
18,ð’ð’šð’ ðŸ¦Š,"b'@collegemenfess Dr sem 6 pas proposal ,soalnya males bikin lagi kec klo lu ikut mbkm'"
19,Arya,b'@muhammadala_ @fixnohoax lha nek aku MBKM ng panggon fotokopinan piye'
20,Kamishiro,b'Kemendikbus giliran masalah ngasih duit mbkm lamanya minta ampun'
21,matchalatte,b'@namadiganti kata siapa? buktinya ada kok wkwk. batch 1 mbkm kmrn segituan kok. dari kementrian bisa 4 jt dr compan\xe2\x80\xa6 https://t.co/MokWwH4JY8'
22,IAI IBRAHIMY GENTENG BANYUWANGI,"b'Masih ragu kuliah di IAI Ibrahimy??\nYuk tunggu apalagi, segera daftarkan diri kamu untuk menjadi bagian dari kampus\xe2\x80\xa6 https://t.co/wvPRpuyk1E'"
23,lil,b'Teknik pengambilan data sama pembahasannya lawak banget dah. Memang banyak hal yang bisa dikritisi dan perlu dibena\xe2\x80\xa6 https://t.co/ckyzRXwyyh'
24,COLLE,b'[cm] kalau ikut mbkm smt ini bisa ngga sih daftar iisma? Yg ga boleh itu yang bersamaan programnya kan atau gmn?'
25,asgfdk__,"b'Diduga yg daftar oprec sedikit, organisasi mahasiswa menuduh program MBKM sbg program yg disorientasi dr marwah int\xe2\x80\xa6 https://t.co/8w1yFMKFsT'"
26,Kompas Muda,b'Pemagangan mahasiswa terus diperkuat lewat program Merdeka Belajar Kampus Merdeka atau MBKM. Program magang ini mem\xe2\x80\xa6 https://t.co/Y8QiYR4VqD'
