no,komentar,sentimen,Tweet,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,tweet_normalized,tweet_tokens_stemmed
1,"Banyak yang perlu di kritik dari MBKM, jelas. Bahkan jika mau menganalisis kondisi politik-ekonomi yang melatar belakanginya",Positif,banyak yang perlu di kritik dari mbkm jelas bahkan jika mau menganalisis kondisi politikekonomi yang melatar belakanginya,"['banyak', 'yang', 'perlu', 'di', 'kritik', 'dari', 'mbkm', 'jelas', 'bahkan', 'jika', 'mau', 'menganalisis', 'kondisi', 'politikekonomi', 'yang', 'melatar', 'belakanginya']",<FreqDist with 16 samples and 17 outcomes>,"['banyak', 'perlu', 'di', 'kritik', 'dari', 'mbkm', 'jelas', 'bahkan', 'jika', 'mau', 'menganalisis', 'kondisi', 'politikekonomi', 'melatar', 'belakanginya']","['banyak', 'perlu', 'di', 'kritik', 'dari', 'mbkm', 'jelas', 'bahkan', 'jika', 'mau', 'menganalisis', 'kondisi', 'politikekonomi', 'melatar', 'belakanginya']","['banyak', 'perlu', 'di', 'kritik', 'dari', 'mbkm', 'jelas', 'bahkan', 'jika', 'mau', 'analis', 'kondisi', 'politikekonomi', 'latar', 'belakang']"
2,"emang tidak bisa dipungkiri kalo MBKM banyak kurangnya, dan setiap kebijakan pasti selalu ada implikasi buruk. but makin",Negatif,emang tidak bisa dipungkiri kalo mbkm banyak kurangnya dan setiap kebijakan pasti selalu ada implikasi buruk but makin,"['emang', 'tidak', 'bisa', 'dipungkiri', 'kalo', 'mbkm', 'banyak', 'kurangnya', 'dan', 'setiap', 'kebijakan', 'pasti', 'selalu', 'ada', 'implikasi', 'buruk', 'but', 'makin']",<FreqDist with 18 samples and 18 outcomes>,"['tidak', 'bisa', 'dipungkiri', 'kalo', 'mbkm', 'banyak', 'kurangnya', 'dan', 'setiap', 'kebijakan', 'pasti', 'selalu', 'ada', 'implikasi', 'buruk', 'but', 'makin']","['tidak', 'bisa', 'dipungkiri', 'kalo', 'mbkm', 'banyak', 'kurangnya', 'dan', 'setiap', 'kebijakan', 'pasti', 'selalu', 'ada', 'implikasi', 'buruk', 'but', 'makin']","['tidak', 'bisa', 'dipungkiri', 'kalo', 'mbkm', 'banyak', 'kurang', 'dan', 'tiap', 'bijak', 'pasti', 'selalu', 'ada', 'implikasi', 'buruk', 'but', 'makin']"
3,Keterima mbkm ,Positif,keterima mbkm,"['keterima', 'mbkm']",<FreqDist with 2 samples and 2 outcomes>,"['keterima', 'mbkm']","['keterima', 'mbkm']","['terima', 'mbkm']"
4,"Loh luring, untung ikut mbkm jadi diem di rumah",Positif,loh luring untung ikut mbkm jadi diem di rumah,"['loh', 'luring', 'untung', 'ikut', 'mbkm', 'jadi', 'diem', 'di', 'rumah']",<FreqDist with 9 samples and 9 outcomes>,"['loh', 'luring', 'untung', 'ikut', 'mbkm', 'jadi', 'diem', 'di', 'rumah']","['loh', 'luring', 'untung', 'ikut', 'mbkm', 'jadi', 'diem', 'di', 'rumah']","['loh', 'luring', 'untung', 'ikut', 'mbkm', 'jadi', 'diem', 'di', 'rumah']"
5,Makanya pencairan dana program MBKM lambat karena memang belum satu pintu.,Negatif,makanya pencairan dana program mbkm lambat karena memang belum satu pintu,"['makanya', 'pencairan', 'dana', 'program', 'mbkm', 'lambat', 'karena', 'memang', 'belum', 'satu', 'pintu']",<FreqDist with 11 samples and 11 outcomes>,"['makanya', 'pencairan', 'dana', 'program', 'mbkm', 'lambat', 'karena', 'memang', 'belum', 'satu', 'pintu']","['makanya', 'pencairan', 'dana', 'program', 'mbkm', 'lambat', 'karena', 'memang', 'belum', 'satu', 'pintu']","['makanya', 'cair', 'dana', 'program', 'mbkm', 'lambat', 'karena', 'memang', 'belum', 'satu', 'pintu']"
6,"Ikut Bimbingan Program MBKM, 25 Mahasiswa UNG Siap Turun Lapangan",Positif,ikut bimbingan program mbkm mahasiswa ung siap turun lapangan,"['ikut', 'bimbingan', 'program', 'mbkm', 'mahasiswa', 'ung', 'siap', 'turun', 'lapangan']",<FreqDist with 9 samples and 9 outcomes>,"['ikut', 'bimbingan', 'program', 'mbkm', 'mahasiswa', 'ung', 'siap', 'turun', 'lapangan']","['ikut', 'bimbingan', 'program', 'mbkm', 'mahasiswa', 'ung', 'siap', 'turun', 'lapangan']","['ikut', 'bimbing', 'program', 'mbkm', 'mahasiswa', 'ung', 'siap', 'turun', 'lapang']"
7,Hari ini Program Studi S1 Akuntansi Universitas Mh Thamrin  berkunjung ke SMK Tripel J untuk kerjasama program MBKM,Positif,hari ini program studi  akuntansi universitas mh thamrin berkunjung ke smk tripel  untuk kerjasama program mbkm,"['hari', 'ini', 'program', 'studi', 'akuntansi', 'universitas', 'mh', 'thamrin', 'berkunjung', 'ke', 'smk', 'tripel', 'untuk', 'kerjasama', 'program', 'mbkm']",<FreqDist with 15 samples and 16 outcomes>,"['hari', 'program', 'studi', 'akuntansi', 'universitas', 'mh', 'thamrin', 'berkunjung', 'ke', 'smk', 'tripel', 'untuk', 'kerjasama', 'program', 'mbkm']","['hari', 'program', 'studi', 'akuntansi', 'universitas', 'mh', 'thamrin', 'berkunjung', 'ke', 'smk', 'tripel', 'untuk', 'kerjasama', 'program', 'mbkm']","['hari', 'program', 'studi', 'akuntansi', 'universitas', 'mh', 'thamrin', 'kunjung', 'ke', 'smk', 'tripel', 'untuk', 'kerjasama', 'program', 'mbkm']"
8,Kemendikbus giliran masalah ngasih duit mbkm lamanya minta ampun',Negatif,kemendikbus giliran masalah ngasih duit mbkm lamanya minta ampun,"['kemendikbus', 'giliran', 'masalah', 'ngasih', 'duit', 'mbkm', 'lamanya', 'minta', 'ampun']",<FreqDist with 9 samples and 9 outcomes>,"['kemendikbus', 'giliran', 'masalah', 'ngasih', 'duit', 'mbkm', 'lamanya', 'minta', 'ampun']","['kemendikbus', 'giliran', 'masalah', 'ngasih', 'duit', 'mbkm', 'lamanya', 'minta', 'ampun']","['kemendikbus', 'gilir', 'masalah', 'ngasih', 'duit', 'mbkm', 'lama', 'minta', 'ampun']"
9,Teknik pengambilan data sama pembahasannya lawak banget. Memang banyak hal yang bisa dikritisi dan perlu dibenahi,Negatif,teknik pengambilan data sama pembahasannya lawak banget memang banyak hal yang bisa dikritisi dan perlu dibenahi,"['teknik', 'pengambilan', 'data', 'sama', 'pembahasannya', 'lawak', 'banget', 'memang', 'banyak', 'hal', 'yang', 'bisa', 'dikritisi', 'dan', 'perlu', 'dibenahi']",<FreqDist with 16 samples and 16 outcomes>,"['teknik', 'pengambilan', 'data', 'pembahasannya', 'lawak', 'memang', 'banyak', 'hal', 'bisa', 'dikritisi', 'dan', 'perlu', 'dibenahi']","['teknik', 'pengambilan', 'data', 'pembahasannya', 'lawak', 'memang', 'banyak', 'hal', 'bisa', 'dikritisi', 'dan', 'perlu', 'dibenahi']","['teknik', 'ambil', 'data', 'bahas', 'lawak', 'memang', 'banyak', 'hal', 'bisa', 'kritisi', 'dan', 'perlu', 'benah']"
10,"Diduga yang daftar oprec sedikit, organisasi mahasiswa menuduh program MBKM sebagai program yang disorientasi dr marwah int",Negatif,diduga yang daftar oprec sedikit organisasi mahasiswa menuduh program mbkm sebagai program yang disorientasi dr marwah int,"['diduga', 'yang', 'daftar', 'oprec', 'sedikit', 'organisasi', 'mahasiswa', 'menuduh', 'program', 'mbkm', 'sebagai', 'program', 'yang', 'disorientasi', 'dr', 'marwah', 'int']",<FreqDist with 15 samples and 17 outcomes>,"['diduga', 'daftar', 'oprec', 'sedikit', 'organisasi', 'mahasiswa', 'menuduh', 'program', 'mbkm', 'program', 'disorientasi', 'dr', 'marwah', 'int']","['diduga', 'daftar', 'oprec', 'sedikit', 'organisasi', 'mahasiswa', 'menuduh', 'program', 'mbkm', 'program', 'disorientasi', 'dr', 'marwah', 'int']","['duga', 'daftar', 'oprec', 'sedikit', 'organisasi', 'mahasiswa', 'tuduh', 'program', 'mbkm', 'program', 'disorientasi', 'dr', 'marwah', 'int']"
